Timestamp,Enter your codename here,What is your position?,Please select all of the following for which you have some experience,"If you have programming experience, list languages to you are comfortable with.","If you have experience with image preprocessing software, please select which software ","If you have experience with image processing or analysis, which types of images?","If you have experience with statistical analysis, what are your preferred statistical softwares, engines or languages?",What operating system do you most prefer?,Were you born in the Netherlands?,List the languages you speak (conversationally),"If you had to choose one, what would be your favorite type of beer?",How spicy do you like your food?,What are your thoughts on the oxford comma?,"What color is this dress? (If you're familiar with this image, what color did you think it was when you first saw it)",Name a really popular food that you don't like,Name the first five animals you can think of,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any?",How many romantic relationships have you been in that have lasted at least 6 months,Pick a number from 1 to 100,How many siblings do you have?,Do you feel sleepy a lot?,How many continents have you visited,How many cities have you lived in for at least six months,Do you have any food allergies or intolerances?,"Have you ever practiced any non-allergy based dietary restrictions (e.g. vegetarian, gluten-free, vegan, etc)",Fill this text box with gibberish by mashing random keyboard keys,How good do you think you are a driving (3 is average),Can you roll your tongue?,What color are the walls around you right now?,What's your favorite color?,What kind of cell phone do you have,Do you usually remember your dreams?,Use an emoji to describe how you feel about emojis,Do you strongly dislike the taste or texture of any of the following things?,Which of these do you regularly drink?,Do you ever eat/drink condiments straight from the bottle/can?,Type 5 random (English) words,Are you nervous about flying?,Which of these would you consider a sandwich?,Would you say you have a good sense of direction?,Can you whistle?,"Assuming you stayed relatively healthy but aged normally, how old would you want to live to be?",Exactly how far in km is your commute to work?,What style of music do you most prefer?,Pick another number from 1 to 100,Do you often go to bed later than you wanted to?,How many hours of sleep do you typically get on week days,Use one word to describe what you think of Donald Trump,What are the chances (in percentage from 1-100) that the Dutch National team will win a EuroCup or WorldCup championship in the next 10 years?,What time is it right now?,How good are you at sports?,What do you think of beards?,Was this survey too long for you?
2017/01/30 12:34:25 PM GMT+2,Motivated ,Master's Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Processing neuroimaging data;Analyzing neuroimaging data;Basic statistical analysis,,FSL,Structural MRI (Quantitative);Task fMRI,SPSS,Windows,Yes,Dutch and English,Amstel,2,I use the oxford comma,White and gold,Sushi,"Dog, cat, horse, rabbit, cow",Warmer,Red,1,22.0,1,No,2,1,No,Yes,uehfseifcrnicxf;ldawejmroeirmx iaxjdijnaslkuex283qyhkjdxsbhflxwmq092x1mm,4,No,Yellowish,Red,Android,Yes,=),Cilantro,Coffee;Tea;Water,No,"This, awesome, work, weird, the",A little bit,Sub/Hoagie;Cheesesteak;Burger;Hot dog;Open-faced sandwich;Pita,Yes,Yes,85,29 km ,Rock,51,No,8,dangerous,12%,11:33,4,I'm neutral about beards.,No
2017/01/30 3:24:53 PM GMT+2,,PhD Student,"Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Multivariate data analysis (e.g. Clustering, PCA, ICA, CCA, LDA) or Machine learning (e.g. SVM) techniques;Graph theory;Basic statistical analysis",Bash (very basic),Freesurfer;FSL,Structural MRI (Quantitative);DTI;ASL,SPSS ,Windows,Yes,"Dutch, English","Amber, Red or Brown Ale",3,I use the oxford comma,Blue and Black,McDonalds burgers,"dog, cat, mouse, rat, bird",Warmer,blue ,2,59.0,1,No,2,2,Yes,No,"kjfdsnbclijds eak,",4,Yes,beige,purple,Android,No,:) ,,Coffee;Beer;Wine;Tea;Water,No,"flight, fight, rain, umbrella, light ",No,Sub/Hoagie;Open-faced sandwich,No,Yes,100,45km,Pop,82,No,8,trouble,60,14:24,4,I like them!,No
2017/01/30 5:30:26 PM GMT+2,12code,Master's Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Processing neuroimaging data;Analyzing neuroimaging data,,SPM;FSL,Structural MRI (Qualitative);Structural MRI (Quantitative),,Windows,No,"English, French","Pilsner, Lager or Bock",3,WTF is the oxford comma?,White and gold,Pizza,"Cat, dog, monkey, rat, gorilla",Cooler,Gray,2,33.0,2,No,3,3,No,No,Hdsjajdxuosaoakahsvvxbxbsks,4,What?,White,Blue,Android,No,:#,Chocolate ice cream,Coffee;Beer;Water,Yes,Course random image mint textile,No,Burger;Hot dog;Open-faced sandwich,Yes,Yes,85,5.5,Alternative/Indie,38,No,7,Blah,70%,16:29,4,Nope.,Yes
2017/01/30 5:48:52 PM GMT+2,,PhD Student,Processing neuroimaging data;Analyzing neuroimaging data,,,PET,,Mac OS,Yes,"Dutch, English ",Pale Ale or IPA,4,I most certainly do NOT use the oxford comma,White and gold,,"goat, rabbit, chicken, cow, hamster",Cooler,Brown,2,26.0,2,Yes,5,1,Yes,Yes,u9roeiajgpoarklsdjgo,4,Yes,white,blue ,iPhone,No,:'(,Coffee,Beer;Wine;Water,No,"beer, food, moving, tau, twins ",No,Cheesesteak;Burger;Open-faced sandwich,Yes,Yes,86,"5,6",Classical/Jazz,54,Yes,"7,5",Disgusting ,56,16:48,4,Nope.,Yes
2017/01/30 5:48:52 PM GMT+2,codecode,PhD Student,Processing neuroimaging data;Analyzing neuroimaging data;Basic statistical analysis,,Vinci,PET,spss,Windows,Yes,"Dutch, English",Hefeweizen or Belgian,4,WTF is the oxford comma?,Blue and Black,kale,"chicken, cow, duck, dog, cat",Warmer,blue,1,45.0,2,No,4,1,No,No,jfkdlsaproeiwuqrpeiurjepojtfkdl;fjaksdofpuweiorpuieoprquiweopjrfkslda;jfkdsopqrueiw,3,Yes,white,orange,iPhone,No,:),,Coffee;Wine;Tea;Water,No,hello how are you now,A little bit,Sub/Hoagie;Open-faced sandwich;Pita,No,Yes,92,8,Alternative/Indie,56,Yes,7,ulgh,60,16:48,4,I like them!,No
2017/01/31 9:34:36 AM GMT+2,,PhD Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Processing neuroimaging data;Analyzing neuroimaging data;Basic statistical analysis,Does Matlab count? I have worked a little bit with that.,Freesurfer;SPM;FSL,Structural MRI (Quantitative),SPSS,Windows,Yes,Dutch and English,Pale Ale or IPA,2,WTF is the oxford comma?,White and gold,Salmon,Cat Elephant Oerang Oetang Bear Tiger,Warmer,Pink,1,79.0,0,Yes,3,2,No,No,earhiujno[,3,Yes,white,yellow,iPhone,Yes,<3,Carbonation (or fizz),Tea,Yes,Glasses napkin potato piano tomato,A little bit,Sub/Hoagie;Open-faced sandwich,No,Yes,98,4,Classical/Jazz,45,Yes,8,Scary,75,08:34,3,I'm neutral about beards.,Yes
2017/01/31 3:09:21 PM GMT+2,Jurre,PhD Student,Graph theory,,I don't have experience with image preprocessing,Optical Coherence Tomography (Eye),,Windows,Yes,"Dutch, English","Triple, IPA, Pilsner",3,WTF is the oxford comma?,White and gold,I eat practically anything,"Dog, bird, T-rex, cat, whale",Cooler,blue,1,1.0,2,Yes,4,2,No,No,",mfbdjkfaslf",2,No,white/green,red,Android,No,=D,,Coffee;Fruit juice;Beer;Wine;Water,Yes,"extremely, random, long, funny, questionnaire",No,Sub/Hoagie,Yes,Yes,100,5,Hip-Hop,14,Yes,7,WWIII,5,14:05,4,I'm neutral about beards.,Yes
2017/02/01 1:26:21 PM GMT+2,,PhD Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Basic statistical analysis,,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,spss,Mac OS,Yes,"english, dutch",Tripel,4,I use the oxford comma,White and gold,"dogfood, I think.. Never tried it though.","Dog, cat, monkey, spider, shark",Warmer,burgundy,3,7.0,1,No,5,1,No,Yes,kwajfszd;oicxnawkenf;aoidfzjvlkzn'pejfo;wAEFSDKCNLAWEKFJZ;OHOQhFokjqsfl;kz,3,Yes,white,navy,iPhone,No,:D,,Coffee;Beer;Wine;Tea;Water,Yes,"hello, shoes, light, pathology, watch",No,Open-faced sandwich;Pita,Yes,No,90,7,Alternative/Indie,99,Yes,6,stupid,50,12:26,3,I'm neutral about beards.,No
2017/02/01 3:55:42 PM GMT+2,AlzCentr,Research Associate,,,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,,Mac OS,Yes,English and Dutch,Pale Ale or IPA,3,WTF is the oxford comma?,Blue and Black,gummybears,panther cat mouse giraffe tiger,Warmer,black,3,3.0,0,No,5,2,No,No,akdjfal;erjknwelsdkmjvp[osdajfel;ihafnd aesir hweaiurh qREF'AJDSIFA0Y283REWIOJ4REFDS,2,Yes,Yellowish green,soft pink,iPhone,No,:-),,Coffee;Wine;Tea;Water,Yes,love spoon breakfast phone question,A little bit,Cheesesteak;Open-faced sandwich,Yes,Yes,110,33,Pop,33,Yes,6,dummie,70,14:55,4,I like them!,No
2017/02/01 4:29:41 PM GMT+2,,PhD Student,"Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Multivariate data analysis (e.g. Clustering, PCA, ICA, CCA, LDA) or Machine learning (e.g. SVM) techniques;Basic statistical analysis","Software used: Matlab, R",Freesurfer;SPM;FSL,PET;Structural MRI (Qualitative);Structural MRI (Quantitative),SPSS ,Windows,Yes,"Dutch, English",Porter or Stout,4,I use the oxford comma,Blue and Black,Pizza Hawaii,Cat Dog Rabbit Lion Snake,Cooler,Blue,5,71.0,2,No,4,3,No,No,ftyif;ukguofty,5,No,White,Blue,Android,Yes,:(,,Caffeinated soda;Coffee;Beer;Wine;Tea;Water,Yes,"Chair, Table, Painting, Wall, President",No,Sub/Hoagie,No,Yes,200,5,Rock,1,No,8,Sad,1.1,15:30,3,I'm neutral about beards.,Yes
2017/02/01 5:39:39 PM GMT+2,,Research Associate,"Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Multivariate data analysis (e.g. Clustering, PCA, ICA, CCA, LDA) or Machine learning (e.g. SVM) techniques;Graph theory;Python;Basic statistical analysis","HTML, C++, perl, CSS",SPM,PET;Structural MRI (Qualitative);Structural MRI (Quantitative),"SPSS, SPM",Linux/Unix,Yes,"Russian, French, German, English, Dutch",Hefeweizen or Belgian,4,I use the oxford comma,White and gold,Uiendoop,"Python, Lizzard, Crocodile, Tiger, Axolotl",Warmer,blue,5,55.5,3,Yes,4,4,No,No,jghdk,5,Yes,white,orange,Other smartphone,No,:S,White wine;Carbonation (or fizz);Red wine;Cilantro,Fruit juice;Tea,Yes,"Random, thing, natural, wave, ocean",No,Sub/Hoagie;Burger;Hot dog,Yes,Yes,110,6,Hip-Hop,66,Yes,8,Awesome,0,11:22,5,I'm neutral about beards.,Yes
2017/02/08 11:36:58 AM GMT+2,,PhD Student,Basic statistical analysis,,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,,Windows,No,"Dutch, english","Pilsner, Lager or Bock",2,WTF is the oxford comma?,White and gold,dorritos,"cat, dog, cow, rabbit, horse",Warmer,bordeaux,1,17.0,1,Yes,3,4,No,No,ahsoifhxafd,3,Yes,white,red,iPhone,No,:),,Coffee;Tea;Water,Yes,water tea coffee coke hi,No,Hot dog;Open-faced sandwich,No,Yes,90,40.1,Pop,1,Yes,7,dumb,30%,10:36,3,Nope.,No
2017/03/17 4:12:59 PM GMT+2,,,,,,,,,No,"French, Arabic, English",Hefeweizen or Belgian,4,I use the oxford comma,Blue and Black,onion rings,"bear, giraffe, whale, orangutan, tenia",Cooler,blue,2,44.0,2,Yes,3,3,No,No,3409 6u`-,5,Yes,off-white,blue,Android,Yes,:/,,Beer;Wine;Water,No,"seat, fire, boat, nirvana, actually",No,Quesadilla;Sub/Hoagie;Cheesesteak;Burger;Hot dog;Pita,Yes,Yes,90,23.7,Alternative/Indie,45,Yes,6.5,sad,75,10:12,4,I'm neutral about beards.,Yes
2017/03/17 4:13:39 PM GMT+2,youresteemedbul,dropout ,Basic statistical analysis,,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,,Windows,No,english,Porter or Stout,5,I use the oxford comma,Blue and Black,wasabi,"horse, cat,aardvark, blue whale, dolphin",Warmer,bare-chested AF,4,73.0,1,No,2,1,No,Yes,jrtitocuucky v ittxtxyddrurccj,5,No,cream,orange?,iPhone,Yes,🤷🏻‍♂️,,Coffee;Beer;Wine;Tea;Water,No,"colonial, repressive, engaging, sanctimonious, privy ",A little bit,Sub/Hoagie;Cheesesteak;Burger;Hot dog,No,Yes,in perpetuity,15,Hip-Hop,27,Yes,7-8,callous,17,10:13,4,I'm neutral about beards.,No
2017/03/17 4:27:15 PM GMT+2,Oldman,Engineer,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language,,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,,Mac OS,No,English,"Amber, Red or Brown Ale",3,I use the oxford comma,Blue and Black,Cheese,Sheep Duck Dog Cow Dolphin,Cooler,Black,2,42.0,0,No,5,4,No,No,asdlfjq;oitv q;wivruqcn;,4,Yes,Taupe,Green,iPhone,No,;?,,Fruit juice;Beer;Wine;Tea;Water,No,Hare tile key dress sandal,No,Sub/Hoagie;Cheesesteak;Open-faced sandwich;Pita,Yes,Yes,Long enough,8,Country/Folk,67,No,7,deceitful,75%,10:24,3,I like them!,No
2017/03/17 4:27:37 PM GMT+2,,Master's Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Graph theory;Python;Basic statistical analysis;Git,"Python, C, C++, JavaScript",,,,Linux/Unix,No,English,Hefeweizen or Belgian,3,I use the oxford comma,Blue and Black,Brussels sprouts,Cat dog leopard jaguar donkey,Warmer,None,Two,99.0,0,Yes,6,Four,No,Yes,Sgskdbd ensksheyebsksh,3,Yes,Beige,Red,Android,Yes,🌋,,Caffeinated soda;Non-affeinated soda;Coffee;Fruit juice;Beer;Wine;Tea;Water,No,Bong typewriter jogging boom argument,A little bit,Taco;Quesadilla;Sub/Hoagie;Cheesesteak;Burger;Hot dog;Open-faced sandwich;Pita,Yes,Yes,80,7,Rock,1,Yes,7,Megalomaniac,20,10:27,1,I like them!,Yes
2017/03/17 4:29:10 PM GMT+2,Wayne Tracker,CPA,Basic statistical analysis,,,I don't have experience with image processing or analysis,,Windows,No,English,Porter or Stout,1,I use the oxford comma,White and gold,Coconut,"Dog, Elephant, Cat, Giraffe, Mouse",Cooler,Green,10,57.0,3,No,1,4,No,No,jknasdkjsnadsandsakidnllasdnasldnaidunsauidnsaiudnasiudnasiunduasindin;psufnsaiufnsafiunsaiufnsauifnuisanfiusanfuinfiurnfuinewrfnwf98n80943n2r9o3n2rouinf98f98f9823nr98n23f93n2f932nf98n23f23hnf983ufuesbfs98fbh98uihwf98ih3rnb99webf9wf98whrf98hj9h0f09howlongdoimashkeysforuiiuniudsnfidusnfiudsnfiudsnfnsdfuisdnfioupsnfiusfuipnwerfipunewifnpuwfnuinfuinwfeuinwefiunwefiunweifnwienfuiweuyi789yhyu3h28hr8998h98hnicantfillit09j0ds98nf089dsnf9sdnf98dsnf89dsnf98n98ewf98ewnf98ewnf98new98fnwe98fn98HOWLONGDOESTHETEXTBOXGOINISUNDFOISNFOIDNSIFONDSIFNOSNFI098F09N9009F0SENF09NEF0NEWFN9032R093N2R098N09NF9NEW90FN09FN,5,Yes,white,green,Android,Yes,::thinking face emjoi::,,Caffeinated soda;Coffee;Beer;Wine;Tea;Water,No,five random english words yeah,No,Sub/Hoagie;Cheesesteak;Open-faced sandwich,Yes,No,INFINITE 100+,52.4,Alternative/Indie,1,No,5,ugh,0,10:30,5,I like them!,No
2017/03/17 4:36:05 PM GMT+2,George,PhD Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data,,SPM;Conn,Resting-state fMRI;Task fMRI;DTI,,Linux/Unix,No,"French, English",I don't like/drink beer,4,I use the oxford comma,Blue and Black,Tomatoes,"Elephant, cat, dog, fish, giraffe",Warmer,grey/purple,4,8.0,2,Yes,2,3,No,No,icoeahciyegfdpw8,3,Yes,white-ish,blue,Android,Yes,:D,White wine;Red wine;Cilantro;Tomatos,Tea;Water,No,potato gym flab nose tweezer,No,Sub/Hoagie,No,Yes,90,1.8,Rock,48,Yes,7,Poo,50,10:35,3,I'm neutral about beards.,Yes
